Month,wound,disease,other
Apr 1854,0,0,447
May 1854,0,173,264
Jun 1854,0,222,40
Jul 1854,0,10008,711
Aug 1854,0,22541,887
Sep 1854,1429,19759,500
Oct 1854,3107,9318,0
Nov 1854,6683,17282,0
Dec 1854,2904,41078,534
Jan 1855,1531,75447,5299
Feb 1855,1172,45638,7260
Mar 1855,820,29622,3733
Apr 1855,0,11684,1215
May 1855,437,10846,802
Jun 1855,3613,12487,732
Jul 1855,1447,4830,637
Aug 1855,2220,6414,469
Sep 1855,1777,2714,374
Oct 1855,377,1995,257
Nov 1855,348,3283,372
Dec 1855,107,1435,638
Jan 1856,0,0,965
Feb 1856,0,0,443
Mar 1856,0,402,396
